"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Tries deploying an amd64 charm on arm64 host.","0","test_amd_charm_on_arm_host","tests.integration.integration","2026-09-10","skipped","2026-09-10","","test_architecture","",""
"Test the database relation.","390390","test_database_relation","tests.integration.integration","2026-09-10","passed","2026-09-10","","test_charm","",""
"Test the failover of the ha-cluster leader.","3532","test_ha_cluster_failover","tests.integration.integration","2026-09-10","passed","2026-09-10","","test_hacluster","",""
"Tests Ubuntu pro charm alongside the MySQL charms.","298383","test_ubuntu_pro","tests.integration.integration","2026-09-10","passed","2026-09-10","","test_subordinate_charms","",""
"Test encryption when backend database is using TLS.","270746","test_deploy_and_relate","tests.integration.integration","2026-09-10","passed","2026-09-10","","test_tls","",""
"Upgrade mysqlrouter while ensuring continuous writes incrementing.","252309","test_upgrade_from_edge","tests.integration.integration","2026-09-10","passed","2026-09-10","","test_upgrade","",""
"Test that exporter endpoint is functional.","677921","test_exporter_endpoint","tests.integration.integration","2026-09-10","passed","2026-09-10","","test_exporter_with_tls","",""
"Test the shared-db legacy relation.","549200","test_shared_db","tests.integration.integration","2026-09-10","passed","2026-09-10","","test_shared_db","",""
"Test a refresh failure and its rollback.","158573","test_fail_and_rollback","tests.integration.integration","2026-09-10","passed","2026-09-10","","test_upgrade","",""
"Tries deploying an arm64 charm on amd64 host.","89225","test_arm_charm_on_amd_host","tests.integration.integration","2026-09-10","passed","2026-09-10","","test_architecture","",""
"Upgrade mysqlrouter from v2 to v3 while ensuring continuous writes incrementing.","111063","test_upgrade_from_v2","tests.integration.integration","2026-09-10","passed","2026-09-10","","test_upgrade_from_v2","",""
"Test connectivity when backend database is using TLS.","25664","test_data_integrator_connectivity_with_tls","tests.integration.integration","2026-09-10","passed","2026-09-10","","test_data_integrator","",""
"Test endpoints when mysql-router-k8s is related to a TLS operator.","62846","test_expose_external_with_tls","tests.integration.integration","2026-09-10","passed","2026-09-10","","test_expose_external","",""
"Test the database relation.","385604","test_database_relation","tests.integration.integration","2026-09-10","passed","2026-09-10","","test_database","",""
"Test the certificates of the MySQL Router application.","156943","test_router_certificates","tests.integration.integration","2026-09-10","passed","2026-09-10","","test_hacluster","",""
"Test encryption when backend database is using TLS.","46899","test_connected_encryption","tests.integration.integration","2026-09-10","passed","2026-09-10","","test_tls","",""
"Simple test to ensure that mysql, mysqlrouter and application charms deploy.","116293","test_deploy_edge","tests.integration.integration","2026-09-10","passed","2026-09-10","","test_upgrade_from_v2","",""
"Test external connectivity with data-integrator ha-cluster.","1282949","test_external_connectivity_with_ha_cluster","tests.integration.integration","2026-09-10","passed","2026-09-10","","test_hacluster","",""
"Test connectivity when backend database is using Data integrator.","290241","test_data_integrator_connectivity","tests.integration.integration","2026-09-10","passed","2026-09-10","","test_data_integrator","",""
"Test the lack of VIP in the MySQL Router application.","87180","test_router_without_vip","tests.integration.integration","2026-09-10","passed","2026-09-10","","test_hacluster","",""
"Test the expose-external config option.","151550","test_expose_external","tests.integration.integration","2026-09-10","passed","2026-09-10","","test_expose_external","",""
"Simple test to ensure that mysql, mysqlrouter and application charms deploy.","436991","test_deploy_edge","tests.integration.integration","2026-09-10","passed","2026-09-10","","test_upgrade","",""
"Tests Landscape client charm alongside the MySQL charms.","1205202","test_landscape_client","tests.integration.integration","2026-09-10","broken","2026-09-10","","test_subordinate_charms","",""
"Test that exporter endpoint is functional.","558554","test_exporter_endpoint","tests.integration.integration","2026-09-10","passed","2026-09-10","","test_exporter","",""
"Test log rotation.","272950","test_log_rotation","tests.integration.integration","2026-09-10","passed","2026-09-10","","test_log_rotation","",""
